iter	Passed	Remaining
0	261	261156
1	279	139313
2	313	104117
3	347	86419
4	380	75792
5	414	68711
6	452	64127
7	491	61005
8	527	58078
9	560	55517
10	594	53412
11	634	52252
12	685	52059
13	724	51026
14	759	49904
15	806	49625
16	845	48885
17	886	48388
18	934	48250
19	971	47607
20	1005	46871
21	1038	46164
22	1078	45794
23	1113	45267
24	1146	44731
25	1181	44252
26	1215	43797
27	1250	43401
28	1327	44445
29	1369	44265
30	1407	43989
31	1447	43783
32	1489	43650
33	1528	43420
34	1566	43187
35	1609	43095
36	1647	42874
37	1689	42779
38	1727	42555
39	1764	42347
40	1800	42115
41	1841	42006
42	1879	41835
43	1917	41659
44	1950	41400
45	1984	41164
46	2019	40942
47	2060	40870
48	2094	40644
49	2127	40431
50	2161	40220
51	2195	40017
52	2229	39833
53	2266	39712
54	2302	39554
55	2336	39387
56	2369	39207
57	2403	39038
58	2437	38879
59	2478	38825
60	2486	38282
61	2521	38150
62	2556	38020
63	2590	37892
64	2625	37772
65	2665	37723
66	2701	37616
67	2736	37507
68	2770	37383
69	2804	37264
70	2839	37151
71	2884	37174
72	2922	37110
73	2959	37029
74	2996	36958
75	3037	36926
76	3079	36919
77	3116	36843
78	3151	36745
79	3187	36652
80	3222	36558
81	3268	36590
82	3305	36518
83	3342	36444
84	3377	36355
85	3413	36274
86	3456	36269
87	3494	36214
88	3533	36165
89	3569	36095
90	3606	36027
91	3651	36034
92	3688	35971
93	3723	35889
94	3762	35844
95	3797	35761
96	3841	35764
97	3884	35750
98	3921	35693
99	3957	35620
100	3992	35539
101	4034	35515
102	4072	35465
103	4109	35404
104	4146	35345
105	4181	35265
106	4221	35232
107	4264	35220
108	4298	35141
109	4334	35073
110	4369	34992
111	4412	34986
112	4448	34919
113	4482	34837
114	4516	34758
115	4550	34679
116	4585	34603
117	4626	34584
118	4661	34514
119	4696	34444
120	4730	34365
121	4766	34305
122	4802	34242
123	4844	34222
124	4881	34167
125	4917	34108
126	4953	34049
127	4991	34001
128	5033	33984
129	5070	33931
130	5107	33881
131	5144	33828
132	5180	33769
133	5224	33764
134	5260	33704
135	5296	33647
136	5331	33585
137	5366	33519
138	5408	33499
139	5444	33444
140	5479	33383
141	5516	33331
142	5551	33271
143	5595	33263
144	5633	33217
145	5669	33162
146	5704	33102
147	5739	33043
148	5780	33012
149	5818	32973
150	5853	32912
151	5889	32858
152	5926	32809
153	5968	32786
154	6006	32743
155	6042	32690
156	6078	32640
157	6114	32585
158	6157	32570
159	6195	32525
160	6233	32483
161	6274	32459
162	6311	32408
163	6353	32384
164	6392	32349
165	6427	32293
166	6462	32234
167	6497	32180
168	6537	32144
169	6574	32097
170	6617	32081
171	6653	32029
172	6691	31987
173	6731	31953
174	6771	31924
175	6810	31885
176	6844	31823
177	6880	31772
178	6918	31732
179	6955	31686
180	6996	31660
181	7033	31613
182	7070	31566
183	7112	31540
184	7148	31490
